reaction_time,label
2.84,1
3.379999999999999,1
2.539999999999999,1
3.3999999999999915,1
3.6200000000000045,1
4.359999999999999,1
2.6599999999999966,1
2.779999999999987,1
3.2600000000000193,1
2.26,1
4.020000000000003,1
-0.1599999999999966,1
-1.0999999999999943,1
2.1599999999999966,1
-1.3400000000000034,1
-1.5799999999999983,1
1.3199999999999932,1
2.0,1
4.0,1
3.9399999999999977,1
2.559999999999995,1
6.640000000000001,1
4.740000000000009,1
5.039999999999992,1
2.5600000000000023,1
-0.9399999999999977,1
3.219999999999999,1
4.039999999999992,1
2.960000000000001,1
3.1000000000000014,1
2.8000000000000043,1
2.559999999999995,1
2.6599999999999966,1
2.6200000000000045,1
2.5,1
2.5999999999999943,1
4.360000000000014,1
-1.1399999999999997,1
-1.1399999999999988,1
2.5799999999999983,1
1.9599999999999973,1
2.5599999999999987,1
1.9199999999999946,1
-0.9799999999999969,1
2.0799999999999983,1
2.6000000000000085,1
1.7399999999999949,1
2.480000000000004,1
-0.4399999999999977,1
-1.0400000000000063,1
-4.920000000000002,1
3.1399999999999997,1
2.280000000000001,1
2.8400000000000034,1
-4.520000000000003,1
-0.1599999999999966,1
-0.9799999999999969,1
1.9399999999999906,1
2.480000000000004,1
2.299999999999997,1
2.519999999999996,1
2.0999999999999943,1
2.3400000000000034,1
2.4000000000000057,1
2.3000000000000114,1
4.9,1
3.039999999999999,1
2.799999999999997,1
3.559999999999995,1
3.4399999999999977,1
2.8800000000000097,1
2.5,1
3.0799999999999983,1
3.9000000000000057,1
1.5999999999999996,1
5.659999999999997,1
0.6199999999999974,1
2.1799999999999926,1
2.4599999999999937,1
-2.9399999999999977,1
2.019999999999996,1
1.8400000000000034,1
1.8599999999999852,1
2.1799999999999784,1
1.5999999999999996,0
1.1000000000000014,0
1.0200000000000031,0
0.7999999999999972,0
1.2000000000000028,0
-0.6199999999999903,0
0.980000000000004,0
1.0600000000000023,0
1.039999999999992,0
0.960000000000008,0
2.26,1
2.3400000000000034,1
1.3399999999999963,1
2.6999999999999957,1
0.7600000000000051,1
3.3200000000000074,1
0.9200000000000017,1
4.099999999999994,1
1.2199999999999989,1
2.3999999999999915,1
1.1599999999999966,1
2.359999999999985,1
3.319999999999993,1
-2.42,0
-1.5999999999999996,0
2.419999999999999,0
-0.17999999999999972,0
0.740000000000002,0
1.0,0
-0.7399999999999949,0
-0.9200000000000017,0
0.7000000000000028,0
-0.4399999999999977,0
0.6199999999999903,0
-8.319999999999993,0
1.5200000000000102,0
-6.319999999999993,0
1.3400000000000034,0
1.4399999999999977,0
-0.8800000000000097,0
1.4599999999999937,0
-11.5,0
6.219999999999999,0
5.219999999999999,0
3.92,1
2.8599999999999994,1
2.3599999999999994,1
2.1599999999999966,1
4.400000000000006,1
3.0999999999999943,1
-0.8999999999999915,1
-1.019999999999996,1
-1.019999999999996,1
1.6199999999999992,1
-1.1400000000000041,1
1.4400000000000048,1
-6.060000000000002,1
7.739999999999995,1
2.0999999999999943,1
1.7999999999999972,1
-0.8200000000000074,1
-1.2000000000000028,1
-1.3800000000000097,1
-1.3199999999999932,1
-1.2600000000000193,1
3.3000000000000007,1
0.6000000000000014,1
1.9599999999999973,1
2.1400000000000006,1
3.1400000000000006,1
1.9799999999999898,1
1.6599999999999966,1
1.9399999999999977,1
2.019999999999996,1
-2.7600000000000002,0
-0.6200000000000001,0
0.8599999999999994,0
-2.34,0
-1.4199999999999982,0
1.2799999999999976,0
-3.9400000000000013,0
0.8599999999999994,0
0.10000000000000142,0
1.0399999999999991,0
-2.979999999999997,0
-2.240000000000002,0
-0.8200000000000003,0
-0.28000000000000114,0
0.7799999999999869,0
0.7600000000000051,0
-0.5400000000000063,0
-1.2399999999999949,0
1.2199999999999989,0
-5.760000000000005,0
4.859999999999999,0
1.1399999999999864,0
-8.579999999999998,0
4.6,1
3.4599999999999973,1
3.1400000000000006,1
3.280000000000001,1
4.299999999999997,1
3.1400000000000006,1
2.6000000000000085,1
2.539999999999992,1
4.319999999999993,1
2.92,1
2.1799999999999997,1
2.480000000000004,1
2.1600000000000037,1
2.480000000000004,1
2.4200000000000017,1
2.239999999999995,1
-0.980000000000004,1
1.4000000000000004,0
1.4000000000000021,0
1.259999999999998,0
1.2199999999999989,0
1.2999999999999972,0
1.2000000000000028,0
1.3799999999999955,0
-1.6,0
1.4600000000000009,0
1.3200000000000003,0
1.6399999999999935,0
1.8000000000000043,0
1.3599999999999994,0
1.3200000000000074,0
-0.37999999999999545,0
0.1599999999999966,0
-3.3400000000000034,0
1.4399999999999977,0
1.5799999999999983,0
-0.8599999999999994,0
3.9800000000000004,1
1.1799999999999997,1
4.74,1
1.0399999999999991,1
1.8999999999999986,1
2.6000000000000014,1
2.339999999999989,1
2.3999999999999915,1
2.280000000000001,1
3.1799999999999926,1
3.960000000000008,1
1.8000000000000007,1
0.8000000000000007,1
2.1400000000000006,1
1.980000000000004,1
2.9199999999999946,1
1.5400000000000063,1
2.219999999999999,1
1.9199999999999875,1
3.700000000000017,1
0.6200000000000045,1
0.8599999999999852,1
-1.3000000000000114,1
1.8000000000000114,1
1.799999999999983,1
0.3799999999999999,0
-0.040000000000000036,0
0.40000000000000036,0
0.9799999999999969,0
0.9799999999999969,0
1.4200000000000017,0
-1.2399999999999949,0
-1.2800000000000011,0
1.0799999999999983,0
1.1400000000000006,0
2.959999999999999,0
1.240000000000002,0
1.2000000000000028,0
2.8599999999999994,0
0.0,0
1.1199999999999974,0
1.0999999999999943,0
-1.3599999999999994,0
-0.960000000000008,0
0.6600000000000108,0
-0.9000000000000057,0
2.819999999999993,0
1.019999999999996,0
0.9599999999999937,0
-1.9399999999999977,0
3.6599999999999993,1
3.7199999999999953,1
3.1599999999999966,1
3.5999999999999943,1
3.5200000000000102,1
3.799999999999997,1
2.719999999999999,1
2.9200000000000017,1
-5.859999999999999,0
6.34,0
1.0600000000000023,0
1.1799999999999997,0
1.7000000000000028,0
-0.20000000000000284,0
1.039999999999992,0
1.480000000000004,0
1.019999999999996,0
0.6400000000000006,0
1.4800000000000004,1
0.7599999999999998,1
1.1799999999999997,1
2.520000000000003,1
1.8999999999999986,1
0.2600000000000051,1
1.4399999999999977,1
2.1799999999999926,1
2.180000000000007,1
2.0799999999999983,1
-1.2399999999999949,1
-1.0999999999999943,1
-1.039999999999992,1
-1.6800000000000002,0
-0.17999999999999972,0
-1.040000000000001,0
0.7400000000000002,0
-0.33999999999999986,0
2.0400000000000027,0
-1.3999999999999986,0
0.8800000000000026,0
-1.9199999999999982,0
0.7800000000000011,0
-3.6799999999999997,0
1.9799999999999969,0
1.4600000000000009,0
-4.539999999999999,0
1.4799999999999969,0
1.1599999999999966,0
-5.400000000000006,0
2.480000000000004,0
1.1199999999999974,0
0.7000000000000028,0
-0.7199999999999989,0
0.7599999999999909,0
3.6199999999999903,0
1.5600000000000023,0
-1.8400000000000034,0
3.319999999999993,0
-1.8399999999999892,0
0.3400000000000034,0
0.14000000000000057,0
-3.219999999999999,0
-11.679999999999993,0
0.6000000000000085,0
0.7999999999999972,0
-2.58,0
2.2,0
-2.8600000000000003,0
3.459999999999999,0
1.8200000000000003,0
-4.48,0
5.059999999999999,0
0.03999999999999915,0
0.9399999999999977,0
1.3799999999999955,0
0.8200000000000074,0
-0.21999999999999886,0
0.6400000000000006,0
0.519999999999996,0
0.52,0
6.7,0
4.739999999999998,0
0.6799999999999997,0
-5.339999999999996,0
